country,year,status,IF,life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_B,measles,BMI,under_five_deaths,polio,total_expenditure,diphtheria,HIV_AIDS,GDP,population,thinness_1_to_19_years,thinness_5_to_9_years,income_composition_of_resources,schooling
Afghanistan,2014,Developing,Low,59.9,271,64,0.01,73.52,62,492,18.6,86,58,8.18,62,0.1,612.7,327582,17.5,17.5,0.476,10
Afghanistan,2013,Developing,Low,59.9,268,66,0.01,73.22,64,430,18.1,89,62,8.13,64,0.1,631.74,31731688,17.7,17.7,0.47,9.9
Afghanistan,2012,Developing,Low,59.5,272,69,0.01,78.18,67,2787,17.6,93,67,8.52,67,0.1,669.96,3696958,17.9,18,0.463,9.8
Afghanistan,2011,Developing,Low,59.2,275,71,0.01,7.1,68,3013,17.2,97,68,7.87,68,0.1,63.54,2978599,18.2,18.2,0.454,9.5
Afghanistan,2010,Developing,Low,58.8,279,74,0.01,79.68,66,1989,16.7,102,66,9.2,66,0.1,553.33,2883167,18.4,18.4,0.448,9.2
Afghanistan,2009,Developing,Low,58.6,281,77,0.01,56.76,63,2861,16.2,106,63,9.42,63,0.1,445.89,284331,18.6,18.7,0.434,8.9
Afghanistan,2008,Developing,Low,58.1,287,80,0.03,25.87,64,1599,15.7,110,64,8.33,64,0.1,373.36,2729431,18.8,18.9,0.433,8.7
Afghanistan,2007,Developing,Low,57.5,295,82,0.02,10.91,63,1141,15.2,113,63,6.73,63,0.1,369.84,26616792,19,19.1,0.415,8.4
Afghanistan,2006,Developing,Low,57.3,295,84,0.03,17.17,64,1990,14.7,116,58,7.43,58,0.1,272.56,2589345,19.2,19.3,0.405,8.1
Afghanistan,2005,Developing,Low,57.3,291,85,0.02,1.39,66,1296,14.2,118,58,8.7,58,0.1,25.29,257798,19.3,19.5,0.396,7.9
Afghanistan,2004,Developing,Low,57,293,87,0.02,15.3,67,466,13.8,120,5,8.79,5,0.1,219.14,24118979,19.5,19.7,0.381,6.8
Albania,2014,Developing,High,77.5,8,0,4.51,428.75,98,0,57.2,1,98,5.88,98,0.1,4575.76,288914,1.2,1.3,0.761,14.2
Albania,2013,Developing,High,77.2,84,0,4.76,430.88,99,0,56.5,1,99,5.66,99,0.1,4414.72,289592,1.3,1.4,0.759,14.2
Albania,2012,Developing,High,76.9,86,0,5.14,412.44,99,9,55.8,1,99,5.59,99,0.1,4247.61,2941,1.3,1.4,0.752,14.2
Albania,2011,Developing,High,76.6,88,0,5.37,437.06,99,28,55.1,1,99,5.71,99,0.1,4437.18,295195,1.4,1.5,0.738,13.3
Albania,2010,Developing,High,76.2,91,1,5.28,41.82,99,10,54.3,1,99,5.34,99,0.1,494.36,291321,1.4,1.5,0.725,12.5
Albania,2009,Developing,High,76.1,91,1,5.79,348.06,98,0,53.5,1,98,5.79,98,0.1,4114.14,2927519,1.5,1.6,0.721,12.2
Albania,2008,Developing,High,75.3,1,1,5.61,36.62,99,0,52.6,1,99,5.87,99,0.1,437.54,2947314,1.6,1.6,0.713,12
Albania,2007,Developing,High,75.9,9,1,5.58,32.25,98,22,51.7,1,99,6.1,98,0.1,363.14,29717,1.6,1.7,0.703,11.6
Albania,2006,Developing,High,74.2,99,1,5.31,3.3,98,68,5.8,1,97,5.86,97,0.1,35.13,2992547,1.7,1.8,0.696,11.4
Albania,2005,Developing,High,73.5,15,1,5.16,26.99,98,6,49.9,1,97,6.12,98,0.1,279.14,311487,1.8,1.8,0.685,10.8
Albania,2004,Developing,High,73,17,1,4.54,221.84,99,7,48.9,1,98,6.38,97,0.1,2416.59,326939,1.8,1.9,0.681,10.9
Algeria,2014,Developing,High,75.4,11,21,0.01,54.24,95,0,58.4,24,95,7.21,95,0.1,547.85,39113313,6,5.8,0.741,14.4
Algeria,2013,Developing,High,75.3,112,21,0.53,544.45,95,25,57.2,24,95,7.12,95,0.1,5471.87,38338562,5.9,5.8,0.737,14.4
Algeria,2012,Developing,High,75.1,113,21,0.66,555.93,95,18,56.1,24,95,6.14,95,0.1,5564.83,37565847,5.9,5.8,0.732,14.4
Algeria,2011,Developing,High,74.9,116,21,0.56,509,95,112,55,24,95,5.29,95,0.1,5432.25,36819558,5.9,5.8,0.724,14
Algeria,2010,Developing,High,74.7,119,21,0.45,430.72,95,103,53.9,24,95,5.12,95,0.1,4463.39,36117637,5.9,5.8,0.714,13.6
